Название,Цена(Общая),Цена(кв.м.),Расположение,Район,Год постройки,Площадь(кв.м.),Дата,Просмотрено
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 89.2 м²",93660000,1050000,Алматы,,2022.0,89.2,25 нояб.,826
"Свободное назначение, офисы, магазины и бутики, образование · 109 м²",79000000,724771,Алматы,,2015.0,109.0,25 нояб.,131
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 80 м²",70000000,875000,Алматы,,1954.0,80.0,25 нояб.,2
"Общепит, сельское хозяйство · 121.3 м²",150000000,1236603,Алматы,,1993.0,121.3,25 нояб.,3
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, образование, развлечения · 80 м²",36000000,450000,Алматы,,1964.0,80.0,25 нояб.,789
Магазины и бутики · 42 м²,50000000,1190476,Алматы,,2007.0,42.0,25 нояб.,934
"Свободное назначение, магазины и бутики, общепит, салоны красоты, образование · 24 м²",13000000,541667,Алматы,,2015.0,24.0,25 нояб.,119
Свободное назначение · 18 м²,10000000,555556,Алматы,,2017.0,18.0,25 нояб.,588
Свободное назначение · 200 м²,170000000,850000,Алматы,,,200.0,25 нояб.,6
"Свободное назначение, офисы, магазины и бутики, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 191 м²",305000000,1596859,Алматы,,2023.0,191.0,25 нояб.,6
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 220 м²",165000000,750000,Алматы,,2004.0,220.0,25 нояб.,5
Магазины и бутики · 6 м²,500000,83333,Алматы,,,6.0,25 нояб.,7
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 187 м²",282000000,1508021,Алматы,,2024.0,187.0,25 нояб.,2
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки, образование, развлечения · 132 м²",87000000,659091,Алматы,,2008.0,132.0,25 нояб.,5
Свободное назначение · 135 м²,550000000,4074074,Алматы,,1951.0,135.0,25 нояб.,278
"Свободное назначение, магазины и бутики · 453 м²",1350000000,2980132,Алматы,,1960.0,453.0,25 нояб.,2189
"Свободное назначение, офисы, магазины и бутики, салоны красоты, медцентры и аптеки · 45 м²",37000000,822222,Алматы,,2024.0,45.0,25 нояб.,114
Свободное назначение · 21 м²,10000000,476190,Алматы,,2022.0,21.0,25 нояб.,303
Свободное назначение · 360 м²,170000000,472222,Алматы,,2019.0,360.0,25 нояб.,416
"Азс, автосервисы и автомойки · 316 м²",145000000,458861,Алматы,,2009.0,316.0,25 нояб.,777
"Офисы, склады, салоны красоты, медцентры и аптеки, образование, развлечения · 2000 м²",480000000,240000,Алматы,,2014.0,2000.0,25 нояб.,1789
"Свободное назначение, офисы, магазины и бутики, склады, общепит, салоны красоты, медцентры и аптеки, образование, развлечения · 75 м²",120000000,1600000,Алматы,,1985.0,75.0,25 нояб.,1
"Свободное назначение, офисы, магазины и бутики, склады, азс, автосервисы и автомойки, общепит, салоны красоты, бани, гостиницы и зоны отдыха, медцентры и аптеки, образование, развлечения · 800 м²",300000000,375000,Алматы,,2017.0,800.0,25 нояб.,4
